"Id";"Référence";"Empreinte";"Quantité";"Désignation";"Fournisseur et réf";
1;"U6";"MSOP10_MC_MCH";1;"MCP73837-FCI/UN";;;
2;"U4";"PA1616S_ADA";1;"MTK3339";;;
3;"D2,D1";"D_SOD-123";2;"1N4148W";;;
4;"R10,R11,R9";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";3;"1k";;;
5;"R1,R13";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"10k";;;
6;"J5";"U.FL_Hirose_U.FL-R-SMT-1_Vertical";1;"Conn_Coaxial";;;
7;"D3";"LED_Kingbright_APFA3010_3x1.5mm_Horizontal";1;"APFA3010";;;
8;"R14,R6,R15";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";3;"4k7";;;
9;"C11,C12";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";2;"4u7";;;
10;"J3";"JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical";1;"Solar_cell";;;
11;"FB1";"L_0805_2012Metric";1;"FerriteBead";;;
12;"C6";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";1;"1u";;;
13;"R7,R2,R3,R8";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";4;"470";;;
14;"U8";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
15;"SW3,SW4";"SW_SPST_Omron_B3FS-100xP";2;"SW_Omron_B3FS";;;
16;"C15";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"100u";;;
17;"U1";"QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm";1;"CP2104";;;
18;"U5";"SOT-666";1;"USBLC6-2P6";;;
19;"C17,C2,C9";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";3;"22u";;;
20;"C7,C16,C3";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";3;"10u";;;
21;"C8,C1,C5,C4";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"0.1u";;;
22;"Q2";"IRF7404";1;"IRF7404";;;
23;"Q1";"SOT-363_SC-70-6";1;"UMH3N";;;
24;"U2";"Ai-Thinker-Ra-01-LoRa";1;"Ai-Thinker-Ra-02";;;
25;"J2";"JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical";1;"Conn_01x02";;;
26;"R4,R5";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"5k1";;;
27;"U7";"TO-220-3_Vertical";1;"LM2931-5.0_TO220";;;
28;"U3";"ESP32-WROOM-32";1;"ESP32-WROOM-32";;;
29;"C10,C13";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";2;"100n";;;
30;"J1";"USB_C_Receptacle_GCT_USB4085";1;"USB_C_Receptacle_USB2.0";;;
31;"J4";"TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal";1;"Screw_Terminal_01x04";;;
32;"D4";"D_0201_0603Metric";1;"D_Schottky";;;
33;"R12";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"100k";;;
